Series,Episode,SeasonEp,Season,EpisodeNum,SubEp,TotalEp,UserRating,UserVotes
Game of Thrones,Winter Is Coming,1_01,1,01,1,1,9,22920
Game of Thrones,The Kingsroad,1_02,1,02,2,2,8.8,17473
Game of Thrones,Lord Snow,1_03,1,03,3,3,8.7,16565
Game of Thrones,"Cripples, Bastards, and Broken Things",1_04,1,04,4,4,8.8,15783
Game of Thrones,The Wolf and the Lion,1_05,1,05,5,5,9.1,16744
Game of Thrones,A Golden Crown,1_06,1,06,6,6,9.2,16520
Game of Thrones,You Win or You Die,1_07,1,07,7,7,9.2,16864
Game of Thrones,The Pointy End,1_08,1,08,8,8,9,15389
Game of Thrones,Baelor,1_09,1,09,9,9,9.6,21999
Game of Thrones,Fire and Blood,1_10,1,10,10,10,9.5,19417
Game of Thrones,The North Remembers,2_01,2,01,1,11,8.8,15443
Game of Thrones,The Night Lands,2_02,2,02,2,12,8.6,14399
Game of Thrones,What Is Dead May Never Die,2_03,2,03,3,13,8.9,14262
Game of Thrones,Garden of Bones,2_04,2,04,4,14,8.8,13595
Game of Thrones,The Ghost of Harrenhal,2_05,2,05,5,15,8.8,13780
Game of Thrones,The Old Gods and the New,2_06,2,06,6,16,9.1,14690
Game of Thrones,A Man Without Honor,2_07,2,07,7,17,8.9,14151
Game of Thrones,The Prince of Winterfell,2_08,2,08,8,18,8.8,13923
Game of Thrones,Blackwater,2_09,2,09,9,19,9.7,25836
Game of Thrones,Valar Morghulis,2_10,2,10,10,20,9.4,18167
Game of Thrones,Valar Dohaeris,3_01,3,01,1,21,8.8,15962
Game of Thrones,"Dark Wings, Dark Words",3_02,3,02,2,22,8.6,14064
Game of Thrones,Walk of Punishment,3_03,3,03,3,23,8.9,14214
Game of Thrones,And Now His Watch Is Ended,3_04,3,04,4,24,9.5,20208
Game of Thrones,Kissed by Fire,3_05,3,05,5,25,9,14233
Game of Thrones,The Climb,3_06,3,06,6,26,8.8,14128
Game of Thrones,The Bear and the Maiden Fair,3_07,3,07,7,27,8.7,13775
Game of Thrones,Second Sons,3_08,3,08,8,28,9,14118
Game of Thrones,The Rains of Castamere,3_09,3,09,9,29,9.9,60273
Game of Thrones,Mhysa,3_10,3,10,10,30,9.1,16421
Game of Thrones,Two Swords,4_01,4,01,1,31,9.1,20327
Game of Thrones,The Lion and the Rose,4_02,4,02,2,32,9.7,33634
Game of Thrones,Breaker of Chains,4_03,4,03,3,33,8.9,16227
Game of Thrones,Oathkeeper,4_04,4,04,4,34,8.9,15341
Game of Thrones,First of His Name,4_05,4,05,5,35,8.8,14736
Game of Thrones,The Laws of Gods and Men,4_06,4,06,6,36,9.7,28760
Game of Thrones,Mockingbird,4_07,4,07,7,37,9.2,16678
Game of Thrones,The Mountain and the Viper,4_08,4,08,8,38,9.7,32196
Game of Thrones,The Watchers on the Wall,4_09,4,09,9,39,9.6,25830
Game of Thrones,The Children,4_10,4,10,10,40,9.7,25918
Game of Thrones,The Wars to Come,5_01,5,01,1,41,8.5,17387
Game of Thrones,The House of Black and White,5_02,5,02,2,42,8.6,14362
Game of Thrones,High Sparrow,5_03,5,03,3,43,8.6,13693
Game of Thrones,Sons of the Harpy,5_04,5,04,4,44,8.8,14295
Game of Thrones,Kill the Boy,5_05,5,05,5,45,8.7,14550
Game of Thrones,"Unbowed, Unbent, Unbroken",5_06,5,06,6,46,8.1,16700
Game of Thrones,The Gift,5_07,5,07,7,47,9,16554
Game of Thrones,Hardhome,5_08,5,08,8,48,9.9,64361
Game of Thrones,The Dance of Dragons,5_09,5,09,9,49,9.5,27038
Game of Thrones,Mother's Mercy,5_10,5,10,10,50,8.9,26377
Game of Thrones,The Red Woman,6_01,6,01,1,51,8.5,26002
Game of Thrones,Home,6_02,6,02,2,52,9.5,31770
Game of Thrones,Oathbreaker,6_03,6,03,3,53,8.8,20313
Game of Thrones,Book of the Stranger,6_04,6,04,4,54,9.2,22356
Game of Thrones,The Door,6_05,6,05,5,55,9.7,46377
Game of Thrones,Blood of My Blood,6_06,6,06,6,56,8.5,20093
Game of Thrones,The Broken Man,6_07,6,07,7,57,8.6,19562
Game of Thrones,No One,6_08,6,08,8,58,8.4,22679
Game of Thrones,Battle of the Bastards,6_09,6,09,9,59,9.9,147461
Game of Thrones,The Winds of Winter,6_10,6,10,10,60,9.9,101011
Game of Thrones,Dragonstone,7_01,7,01,1,61,8.7,29650
Game of Thrones,Stormborn,7_02,7,02,2,62,9,23860
Game of Thrones,The Queen's Justice,7_03,7,03,3,63,9.4,24447
Game of Thrones,The Spoils of War,7_04,7,04,4,64,9.9,50844
Game of Thrones,Eastwatch,7_05,7,05,5,65,9.1,19741
Game of Thrones,Beyond the Wall,7_06,7,06,6,66,9.7,14078
