Series,Episode,SeasonEp,Season,EpisodeNum,SubEp,TotalEp,UserRating,UserVotes
Parks and Recreation,Pilot,1_01,1,01,1,1,7.1,1512
Parks and Recreation,Canvassing,1_02,1,02,2,2,7.1,1274
Parks and Recreation,The Reporter,1_03,1,03,3,3,7.3,1179
Parks and Recreation,Boys' Club,1_04,1,04,4,4,7.5,1141
Parks and Recreation,The Banquet,1_05,1,05,5,5,7.3,1091
Parks and Recreation,Rock Show,1_06,1,06,6,6,7.8,1120
Parks and Recreation,Pawnee Zoo,2_01,2,01,1,7,8.1,1150
Parks and Recreation,The Stakeout,2_02,2,02,2,8,8.2,1099
Parks and Recreation,Beauty Pageant,2_03,2,03,3,9,7.9,1062
Parks and Recreation,Practice Date,2_04,2,04,4,10,8.4,1073
Parks and Recreation,Sister City,2_05,2,05,5,11,7.8,1117
Parks and Recreation,Kaboom,2_06,2,06,6,12,7.8,1003
Parks and Recreation,Greg Pikitis,2_07,2,07,7,13,8.4,1115
Parks and Recreation,Ron and Tammy,2_08,2,08,8,14,8.4,1100
Parks and Recreation,The Camel,2_09,2,09,9,15,8.1,1007
Parks and Recreation,Hunting Trip,2_10,2,10,10,16,8.8,1214
Parks and Recreation,Tom's Divorce,2_11,2,11,11,17,8,985
Parks and Recreation,Christmas Scandal,2_12,2,12,12,18,8.2,979
Parks and Recreation,The Set Up,2_13,2,13,13,19,8.2,989
Parks and Recreation,Leslie's House,2_14,2,14,14,20,8.1,973
Parks and Recreation,Sweetums,2_15,2,15,15,21,8.2,978
Parks and Recreation,Galentine's Day,2_16,2,16,16,22,7.8,966
Parks and Recreation,Woman of the Year,2_17,2,17,17,23,8.1,950
Parks and Recreation,The Possum,2_18,2,18,18,24,8.2,954
Parks and Recreation,Park Safety,2_19,2,19,19,25,8.3,978
Parks and Recreation,Summer Catalog,2_20,2,20,20,26,8.1,940
Parks and Recreation,94 Meetings,2_21,2,21,21,27,8.6,1010
Parks and Recreation,Telethon,2_22,2,22,22,28,8.5,976
Parks and Recreation,The Master Plan,2_23,2,23,23,29,8.6,1007
Parks and Recreation,Freddy Spaghetti,2_24,2,24,24,30,8.7,1e3
Parks and Recreation,Go Big or Go Home,3_01,3,01,1,31,8.3,972
Parks and Recreation,Flu Season,3_02,3,02,2,32,9,1238
Parks and Recreation,Time Capsule,3_03,3,03,3,33,8.3,951
Parks and Recreation,Ron & Tammy: Part Two,3_04,3,04,4,34,8.6,1009
Parks and Recreation,Media Blitz,3_05,3,05,5,35,8.2,923
Parks and Recreation,Indianapolis,3_06,3,06,6,36,8.2,915
Parks and Recreation,Harvest Festival,3_07,3,07,7,37,8.8,1008
Parks and Recreation,Camping,3_08,3,08,8,38,8.2,923
Parks and Recreation,Fancy Party,3_09,3,09,9,39,9.1,1187
Parks and Recreation,Soulmates,3_10,3,10,10,40,8.6,975
Parks and Recreation,Jerry's Painting,3_11,3,11,11,41,8.8,987
Parks and Recreation,Eagleton,3_12,3,12,12,42,8.4,919
Parks and Recreation,The Fight,3_13,3,13,13,43,8.9,1175
Parks and Recreation,Road Trip,3_14,3,14,14,44,8.6,948
Parks and Recreation,The Bubble,3_15,3,15,15,45,8.3,884
Parks and Recreation,Li'l Sebastian,3_16,3,16,16,46,8.9,1031
Parks and Recreation,I'm Leslie Knope,4_01,4,01,1,47,8.3,923
Parks and Recreation,Ron & Tammys,4_02,4,02,2,48,8.8,997
Parks and Recreation,Born & Raised,4_03,4,03,3,49,8.3,880
Parks and Recreation,Pawnee Rangers,4_04,4,04,4,50,8.4,980
Parks and Recreation,Meet 'n' Greet,4_05,4,05,5,51,7.9,845
Parks and Recreation,End of the World,4_06,4,06,6,52,8.6,977
Parks and Recreation,The Treaty,4_07,4,07,7,53,8.2,881
Parks and Recreation,Smallest Park,4_08,4,08,8,54,8.2,864
Parks and Recreation,The Trial of Leslie Knope,4_09,4,09,9,55,8.5,872
Parks and Recreation,Citizen Knope,4_10,4,10,10,56,8.6,879
Parks and Recreation,The Comeback Kid,4_11,4,11,11,57,8.6,955
Parks and Recreation,Campaign Ad,4_12,4,12,12,58,8.5,847
Parks and Recreation,Bowling for Votes,4_13,4,13,13,59,8.8,899
Parks and Recreation,Operation Ann,4_14,4,14,14,60,8.4,841
