Series,Episode,SeasonEp,Season,EpisodeNum,SubEp,TotalEp,UserRating,UserVotes
The Simpsons,Simpsons Roasting on an Open Fire,01_01,01,01,1,1,8.2,4078
The Simpsons,Bart the Genius,01_02,01,02,2,2,7.8,2258
The Simpsons,Homer's Odyssey,01_03,01,03,3,3,7.5,1967
The Simpsons,There's No Disgrace Like Home,01_04,01,04,4,4,7.8,1947
The Simpsons,Bart the General,01_05,01,05,5,5,8.1,1993
The Simpsons,Moaning Lisa,01_06,01,06,6,6,7.6,1920
The Simpsons,The Call of the Simpsons,01_07,01,07,7,7,7.9,1869
The Simpsons,The Telltale Head,01_08,01,08,8,8,7.7,1814
The Simpsons,Life on the Fast Lane,01_09,01,09,9,9,7.5,1813
The Simpsons,Homer's Night Out,01_10,01,10,10,10,7.4,1735
The Simpsons,The Crepes of Wrath,01_11,01,11,11,11,7.8,1771
The Simpsons,Krusty Gets Busted,01_12,01,12,12,12,8.3,1956
The Simpsons,Some Enchanted Evening,01_13,01,13,13,13,7.9,1794
The Simpsons,Bart Gets an F,02_01,02,01,1,14,8.2,1899
The Simpsons,Simpson and Delilah,02_02,02,02,2,15,8.3,1847
The Simpsons,Treehouse of Horror,02_03,02,03,3,16,8.3,2060
The Simpsons,Two Cars in Every Garage and Three Eyes on Every Fish,02_04,02,04,4,17,8.1,1676
The Simpsons,Dancin' Homer,02_05,02,05,5,18,7.5,1580
The Simpsons,Dead Putting Society,02_06,02,06,6,19,8,1571
The Simpsons,Bart vs. Thanksgiving,02_07,02,07,7,20,7.7,1516
The Simpsons,Bart the Daredevil,02_08,02,08,8,21,8.4,1742
The Simpsons,Itchy and Scratchy and Marge,02_09,02,09,9,22,8.1,1604
The Simpsons,Bart Gets Hit by a Car,02_10,02,10,10,23,7.8,1546
The Simpsons,"One Fish, Two Fish, Blowfish, Blue Fish",02_11,02,11,11,24,8.8,1941
The Simpsons,The Way We Was,02_12,02,12,12,25,8.2,1609
The Simpsons,Homer vs. Lisa and the 8th Commandment,02_13,02,13,13,26,8,1525
The Simpsons,Principal Charming,02_14,02,14,14,27,7.5,1422
The Simpsons,"Oh Brother, Where Art Thou?",02_15,02,15,15,28,8.2,1619
The Simpsons,Bart's Dog Gets an F,02_16,02,16,16,29,7.5,1439
The Simpsons,Old Money,02_17,02,17,17,30,7.6,1420
The Simpsons,Brush with Greatness,02_18,02,18,18,31,8,1436
The Simpsons,Lisa's Substitute,02_19,02,19,19,32,8.5,1917
The Simpsons,The War of the Simpsons,02_20,02,20,20,33,7.9,1421
The Simpsons,Three Men and a Comic Book,02_21,02,21,21,34,8.4,1580
The Simpsons,Blood Feud,02_22,02,22,22,35,8,1409
The Simpsons,Stark Raving Dad,03_01,03,01,1,36,8.6,2042
The Simpsons,Mr. Lisa Goes to Washington,03_02,03,02,2,37,7.7,1482
The Simpsons,When Flanders Failed,03_03,03,03,3,38,8.2,1501
The Simpsons,Bart the Murderer,03_04,03,04,4,39,8.7,1661
The Simpsons,Homer Defined,03_05,03,05,5,40,8.5,1648
The Simpsons,"Like Father, Like Clown",03_06,03,06,6,41,7.7,1441
The Simpsons,Treehouse of Horror II,03_07,03,07,7,42,8.2,1580
The Simpsons,Lisa's Pony,03_08,03,08,8,43,7.9,1420
The Simpsons,Saturdays of Thunder,03_09,03,09,9,44,7.9,1373
The Simpsons,Flaming Moe's,03_10,03,10,10,45,8.8,1853
The Simpsons,Burns Verkaufen der Kraftwerk,03_11,03,11,11,46,8.2,1478
The Simpsons,I Married Marge,03_12,03,12,12,47,8.2,1392
The Simpsons,Radio Bart,03_13,03,13,13,48,8.5,1560
The Simpsons,Lisa the Greek,03_14,03,14,14,49,8,1353
The Simpsons,Homer Alone,03_15,03,15,15,50,8,1355
The Simpsons,Bart the Lover,03_16,03,16,16,51,8.3,1462
The Simpsons,Homer at the Bat,03_17,03,17,17,52,8.7,1862
The Simpsons,Separate Vocations,03_18,03,18,18,53,8.2,1378
The Simpsons,Dog of Death,03_19,03,19,19,54,7.8,1330
The Simpsons,Colonel Homer,03_20,03,20,20,55,7.9,1415
The Simpsons,Black Widower,03_21,03,21,21,56,8.2,1408
The Simpsons,The Otto Show,03_22,03,22,22,57,7.8,1342
The Simpsons,Bart's Friend Falls in Love,03_23,03,23,23,58,7.8,1328
The Simpsons,"Brother, Can You Spare Two Dimes?",03_24,03,24,24,59,8.2,1402
The Simpsons,Kamp Krusty,04_01,04,01,1,60,8.4,1637
The Simpsons,A Streetcar Named Marge,04_02,04,02,2,61,8.2,1536
The Simpsons,Homer the Heretic,04_03,04,03,3,62,9,2014
The Simpsons,Lisa the Beauty Queen,04_04,04,04,4,63,7.8,1375
